,unidad_academica,carrera,nro_inscripcion,regular,cnt_readmisiones,calidad,fecha_ingreso_alumno,anio_plan_estudios
0,FCEQN,170,FCEQN-3342,S,0,A,02/28/2011,2005
1,FCEQN,102,FCEQN-5396,S,0,A,12/12/2010,2005
2,FCEQN,143,FCEQN-3162,S,0,A,03/07/2011,2008
3,FCEQN,106,FCEQN-5739,S,0,A,03/12/2011,2008
4,FCEQN,172,4683,S,0,A,03/15/2011,2005
5,FCEQN,SAC,FCEQN-5233,S,0,A,12/05/2010,2009
6,FCEQN,SAC,FCEQN-5226,S,0,A,12/05/2010,2009
7,FCEQN,SAC,FCEQN-5117,S,0,A,12/14/2010,2009
8,FCEQN,SAC,FCEQN-5630,S,0,A,12/19/2010,2009
9,FCEQN,SAC,FCEQN-5644,S,0,A,01/30/2011,2009
10,FCEQN,SAC,FCEQN-5218,S,0,A,12/04/2010,2009
11,FCEQN,SAC,FCEQN-5397,S,0,A,12/12/2010,2009
12,FCEQN,SAC,FCEQN-5546,S,0,A,12/14/2010,2009
13,FCEQN,SAC,FCEQN-5608,S,0,A,12/15/2010,2009
14,FCEQN,SAC,FCEQN-5145,S,0,A,11/30/2010,2009
15,FCEQN,SAC,FCEQN-5681,S,0,A,01/31/2011,2009
16,FCEQN,SAC,FCEQN-5641,S,0,A,01/30/2011,2009
17,FCEQN,SAC,FCEQN-5327,S,,A,12/11/2010,2009
18,FCEQN,SAC,FCEQN-5522,S,,A,12/14/2010,2009
19,FCEQN,SAC,FCEQN-5434,S,,A,12/12/2010,2009
20,FCEQN,SAC,FCEQN-5457,S,0,A,12/14/2010,2009
21,FCEQN,SAC,FCEQN-5684,S,0,A,02/01/2011,2009
22,FCEQN,SAC,FCEQN-5580,S,0,A,12/15/2010,2009
23,FCEQN,SAC,FCEQN-5165,S,0,A,12/01/2010,2009
24,FCEQN,SAC,FCEQN-5320,S,0,A,12/11/2010,2009
25,FCEQN,SAC,FCEQN-5621,S,0,A,12/18/2010,2009
26,FCEQN,SAC,FCEQN-5765,S,0,A,02/26/2011,2009
27,FCEQN,SAC,FCEQN-5767,S,0,A,02/27/2011,2009
28,FCEQN,114,989,S,0,A,03/21/2011,2005
29,FCEQN,102,FCEQN-5184,S,0,A,12/01/2010,2005
30,FCEQN,147,FCEQN-1431,S,0,A,03/28/2011,2000
31,FCEQN,106,FCEQN-5312,S,0,A,03/28/2011,2008
32,FCEQN,172,FCEQN-1056,S,0,A,03/29/2011,2005
33,FCEQN,SAC,FCEQN-5554,S,0,A,12/14/2010,2009
34,FCEQN,147,FCEQN-5774,S,0,A,03/30/2011,2000
35,FCEQN,147,FCEQN-5775,S,0,A,03/30/2011,2000
36,FCEQN,SAC,FCEQN-5708,S,0,A,02/01/2011,2009
37,FCEQN,SAC,FCEQN-5576,S,0,A,12/15/2010,2009
38,FCEQN,106,FCEQN-5385,S,0,A,04/10/2011,2008
39,FCEQN,101,FCEQN-4751,S,0,A,02/16/2010,2007
40,FCEQN,172,3682,S,0,A,02/26/2011,2005
41,FCEQN,147,FCEQN-5311,S,0,A,12/07/2010,2000
42,FCEQN,104,FCEQN-5144,S,0,A,11/30/2010,2005
43,FCEQN,147,FCEQN-5781,S,0,A,04/12/2011,2000
44,FCEQN,172,FCEQN-5747,S,0,A,02/07/2011,2005
45,FCEQN,147,FCEQN-5779,S,0,A,04/12/2011,2000
46,FCEQN,104,FCEQN-5290,S,0,A,12/07/2010,2005
47,FCEQN,147,FCEQN-5627,S,0,A,12/19/2010,2000
48,FCEQN,147,FCEQN-5299,S,0,A,12/07/2010,2000
49,FCEQN,147,FCEQN-5272,S,0,A,12/06/2010,2000
50,FCEQN,147,FCEQN-5365,S,0,A,12/11/2010,2000
51,FCEQN,170,FCEQN-5417,S,0,A,12/12/2010,2005
52,FCEQN,172,FCEQN-5239,S,0,A,12/05/2010,2005
53,FCEQN,147,FCEQN-5675,S,0,A,01/31/2011,2000
54,FCEQN,147,FCEQN-5190,S,0,A,12/04/2010,2000
55,FCEQN,147,FCEQN-5567,S,0,A,12/14/2010,2000
56,FCEQN,102,FCEQN-5349,S,0,A,12/11/2010,2005
57,FCEQN,172,FCEQN-5452,S,0,A,12/13/2010,2005
58,FCEQN,147,FCEQN-5783,S,0,A,04/13/2011,2000
59,FCEQN,101,FCEQN-5569,S,0,A,04/17/2011,2007
60,FCEQN,102,FCEQN-5364,S,0,A,12/11/2010,2005
61,FCEQN,172,FCEQN-5157,S,0,A,12/01/2010,2005
62,FCEQN,102,FCEQN-5788,S,0,A,04/17/2011,2005
63,FCEQN,101,FCEQN-1963,N,0,A,02/07/2006,2007
64,FCEQN,101,FCEQN-3969,N,0,A,02/26/2008,2007
65,FCEQN,102,775,N,1,A,05/19/1996,2005
66,FCEQN,102,FCEQN-444,N,1,A,04/24/2004,2005
67,FCEQN,147,FCEQN-4269,N,0,P,04/04/2009,2000
68,FCEQN,147,FCEQN-3384,N,0,A,12/04/2007,2000
69,FCEQN,147,FCEQN-3005,N,0,A,03/03/2007,2000
70,FCEQN,147,FCEQN-4340,N,0,A,04/06/2009,2000
71,FCEQN,147,FCEQN-5789,S,0,A,04/17/2011,2000
72,FCEQN,104,FCEQN-5409,S,0,A,12/12/2010,2005
73,FCEQN,147,FCEQN-5328,S,0,A,12/11/2010,2000
74,FCEQN,102,FCEQN-5324,S,0,A,12/11/2010,2005
75,FCEQN,106,FCEQN-5228,S,0,A,04/20/2011,2008
76,FCEQN,172,FCEQN-5565,S,0,A,12/14/2010,2005
77,FCEQN,170,FCEQN-5664,S,0,A,04/20/2011,2005
78,FCEQN,172,FCEQN-5771,S,0,A,03/23/2011,2005
79,FCEQN,101,FCEQN-5547,S,0,A,04/20/2011,2007
80,FCEQN,102,FCEQN-5456,S,0,A,12/13/2010,2005
81,FCEQN,172,FCEQN-5170,S,0,A,12/01/2010,2005
82,FCEQN,102,FCEQN-5595,S,0,A,12/15/2010,2005
83,FCEQN,104,FCEQN-5287,S,0,A,12/07/2010,2005
84,FCEQN,143,FCEQN-5682,S,0,A,01/31/2011,2008
85,FCEQN,172,FCEQN-5509,S,0,A,12/14/2010,2005
86,FCEQN,104,FCEQN-5132,S,0,A,11/30/2010,2005
87,FCEQN,102,FCEQN-5793,S,0,A,04/20/2011,2005
