,ua,insc,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres
0,FCEQN,6960,1.0,NC,-1.0,-1,-1.0
1,FCEQN,FCEQN-1555,1.0,NC,-1.0,-1,-1.0
2,FCEQN,FCEQN-1681,1.0,No,1.0,3,3.0
3,FCEQN,5689,3.0,NC,-1.0,-1,-1.0
4,FCEQN,FCEQN-1810,1.0,NC,-1.0,-1,-1.0
5,FCEQN,1711,1.0,NC,-1.0,-1,-1.0
6,FCEQN,FCEQN-4,1.0,NC,-1.0,-1,-1.0
7,FCEQN,4319,1.0,NC,-1.0,-1,-1.0
8,FCEQN,775,2.0,NC,-1.0,-1,-1.0
9,FCEQN,1041,1.0,NC,-1.0,-1,-1.0
10,FCEQN,1666,1.0,NC,-1.0,-1,-1.0
11,FCEQN,5863,1.0,NC,-1.0,-1,-1.0
12,FCEQN,4171,2.0,NC,-1.0,-1,-1.0
13,FCEQN,FCEQN-1056,1.0,NC,-1.0,-1,-1.0
14,FCEQN,FCEQN-1112,1.0,NC,-1.0,-1,-1.0
15,FCEQN,FCEQN-1116,1.0,NC,-1.0,-1,-1.0
16,FCEQN,FCEQN-1363,1.0,NC,-1.0,-1,-1.0
17,FCEQN,1822,1.0,NC,-1.0,-1,-1.0
18,FCEQN,5101,1.0,NC,-1.0,-1,-1.0
19,FCEQN,6068,2.0,NC,-1.0,-1,-1.0
20,FCEQN,1576,1.0,NC,-1.0,-1,-1.0
21,FCEQN,FCEQN-1431,1.0,NC,-1.0,-1,-1.0
22,FCEQN,FCEQN-1173,1.0,No,1.0,-1,5.0
23,FCEQN,FCEQN-2369,1.0,NC,-1.0,-1,-1.0
24,FCEQN,FCEQN-2546,1.0,NC,-1.0,-1,-1.0
25,FCEQN,5003,1.0,NC,2.0,-1,-1.0
26,FCEQN,FCEQN-2270,1.0,No,1.0,3,4.0
27,FCEQN,5107,1.0,NC,-1.0,-1,-1.0
28,FCEQN,FCEQN-1294,1.0,NC,-1.0,-1,-1.0
29,FCEQN,5853,2.0,NC,1.0,-1,-1.0
30,FCEQN,1772,1.0,NC,-1.0,-1,-1.0
31,FCEQN,FCEQN-3529,1.0,NC,-1.0,-1,-1.0
32,FCEQN,FCEQN-3536,1.0,NC,-1.0,-1,-1.0
33,FCEQN,FCEQN-3585,1.0,No,2.0,1,5.0
