,unidad_academica,nro_inscripcion,sexo,nacionalidad,fecha_nac_alumno,fecha_egr_sec
0,FCEQN,FCEQN-877,2,1.0,1987,2004
1,FCEQN,FCEQN-1294,2,1.0,1987,2011
2,FCEQN,FCEQN-1351,1,1.0,1987,2011
3,FCEQN,FCEQN-1363,2,1.0,1987,2011
4,FCEQN,FCEQN-1367,2,1.0,1987,2011
5,FCEQN,1527,2,1.0,1982,1999
6,FCEQN,FCEQN-1532,1,1.0,1988,2011
7,FCEQN,FCEQN-1618,2,1.0,1986,2011
8,FCEQN,FCEQN-1647,2,1.0,987,2011
9,FCEQN,FCEQN-1665,2,1.0,1987,2005
10,FCEQN,FCEQN-1751,1,-1.0,1987,2011
11,FCEQN,FCEQN-1549,2,1.0,1988,2005
12,FCEQN,FCEQN-1829,1,1.0,1988,2005
13,FCEQN,FCEQN-826,1,1.0,1985,2003
14,FCEQN,FCEQN-2150,1,1.0,1978,2005
15,FCEQN,1767,2,1.0,1978,2011
16,FCEQN,FCEQN-1056,1,1.0,1978,2011
17,FCEQN,5200,2,1.0,1978,2011
18,FCEQN,1576,1,1.0,1978,2011
19,FCEQN,FCEQN-1283,2,1.0,1978,2011
20,FCEQN,FCEQN-600,2,1.0,1985,2003
21,FCEQN,FCEQN-1431,1,1.0,1985,1999
22,FCEQN,FCEQN-888,1,1.0,1985,2011
23,FCEQN,FCEQN-758,2,1.0,1986,2011
24,FCEQN,FCEQN-1181,1,1.0,1986,2011
25,FCEQN,1666,2,1.0,1986,2011
26,FCEQN,1701,2,1.0,1986,2011
27,FCEQN,1451,2,1.0,1986,2011
28,FCEQN,5107,1,1.0,1986,2011
29,FCEQN,350,2,1.0,1970,2011
30,FCEQN,FCEQN-2318,2,1.0,1989,2011
31,FCEQN,FCEQN-2411,2,1.0,1989,2011
32,FCEQN,FCEQN-2546,1,1.0,1989,2011
33,FCEQN,FCEQN-2645,2,1.0,1988,2011
34,FCEQN,4772,1,1.0,1971,2011
35,FCEQN,FCEQN-3005,2,1.0,1987,2011
36,FCEQN,FCEQN-3034,2,1.0,1988,2011
37,FCEQN,FCEQN-3036,1,1.0,1988,2011
38,FCEQN,FCEQN-3162,1,1.0,1984,2011
39,FCEQN,FCEQN-3240,1,1.0,1989,2011
